Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Population density (people per sq. km of land area),EN.POP.DNST,South Sudan,SSD,..,..,17.57478043,17.74450335,17.71446046,17.51159939,16.86614973,16.45012739,16.53294827,16.78386372,17.00864336,..
Population density (people per sq. km of land area),EN.POP.DNST,Spain,ESP,77.82180442,81.29832465,93.2009456,92.92273645,92.95268592,93.04926296,93.27091015,93.66979208,94.3508089,94.81538375,94.88212075,..
Population density (people per sq. km of land area),EN.POP.DNST,Sri Lanka,LKA,274.3437091,299.4158986,336.9758571,338.6933025,344.7352205,346.1699061,347.4837704,350.284495,352.4316946,354.3323634,358.1635952,..
Population density (people per sq. km of land area),EN.POP.DNST,St. Kitts and Nevis,KNA,156.2923077,174.85,183.7192308,183.8038462,183.8076923,183.8,183.7884615,183.6961538,183.5076923,183.2384615,183.1,..
Population density (people per sq. km of land area),EN.POP.DNST,St. Lucia,LCA,233.2803279,261.4754098,285.2098361,286.5639344,287.9065574,289.2016393,290.4311475,291.6196721,292.7590164,293.8311475,294.5098361,..
Population density (people per sq. km of land area),EN.POP.DNST,St. Martin (French part),MAF,..,..,712.78,705.22,700.4,696.22,689.92,677.04,662.42,651.06,638.96,..
Population density (people per sq. km of land area),EN.POP.DNST,St. Vincent and the Grenadines,VCT,288.4282051,291.8282051,275.5128205,274.1333333,273.0307692,271.7,270.6384615,269.9512821,269.0358974,268.2871795,267.5179487,..
Population density (people per sq. km of land area),EN.POP.DNST,Sudan,SDN,8.876635522,11.06850715,19.26697216,19.80901767,20.43424946,21.07985493,21.77720985,22.4834363,23.14351874,23.79041006,24.44175696,..
Population density (people per sq. km of land area),EN.POP.DNST,Suriname,SUR,2.645871795,3.0705,3.615044872,3.651807692,3.688942308,3.727262821,3.766403846,3.805865385,3.848083333,3.891442308,3.929391026,..
Population density (people per sq. km of land area),EN.POP.DNST,Sweden,SWE,21.01154147,21.78061456,23.5684835,23.80349865,24.05826177,24.36244975,24.69294198,24.98145887,25.23766548,25.42072337,25.57385697,..
Population density (people per sq. km of land area),EN.POP.DNST,Switzerland,CHE,169.8872506,181.7712317,204.7343366,207.2507514,209.6266208,211.9315721,213.9184801,215.5000945,217.0427817,218.6344696,220.285662,..
Population density (people per sq. km of land area),EN.POP.DNST,Syrian Arab Republic,SYR,67.5209272,88.73465013,117.0605075,109.3080216,104.5862768,103.274258,103.3783859,105.2848826,109.4497141,113.1220117,116.1268148,..
Population density (people per sq. km of land area),EN.POP.DNST,Tajikistan,TJK,..,44.81993427,58.13525293,59.99414927,61.41698249,62.86705094,64.30956841,65.7693782,67.27432092,68.76004755,70.25047914,..
Population density (people per sq. km of land area),EN.POP.DNST,Tanzania,TZA,29.58456988,38.90686837,55.60357078,57.36571687,59.31680176,61.41544592,63.52114699,65.57963762,67.59153195,69.65965003,71.78633326,..
Population density (people per sq. km of land area),EN.POP.DNST,Thailand,THA,108.1023508,123.444583,136.1909648,136.939347,137.5920394,138.2039911,138.7739083,139.2233201,139.5755701,139.9042142,140.1497446,..
Population density (people per sq. km of land area),EN.POP.DNST,Timor-Leste,TLS,50.98224613,59.06926698,78.1139879,79.67921991,81.09031607,82.35117687,83.6069267,84.85843981,86.10880968,87.42400807,88.83268325,..
Population density (people per sq. km of land area),EN.POP.DNST,Togo,TGO,71.26212539,92.07639272,130.6532267,134.0022614,137.4007906,140.8596065,144.3793896,147.944089,151.5553227,155.2230189,158.941515,..
Population density (people per sq. km of land area),EN.POP.DNST,Tonga,TON,137.1208333,142.5041667,148.7347222,148.0916667,147.3916667,146.8152778,146.4097222,146.0416667,145.7652778,146.1861111,147.2458333,..
Population density (people per sq. km of land area),EN.POP.DNST,Trinidad and Tobago,TTO,246.8846004,259.688694,280.8438596,282.779922,284.6348928,286.4191033,288.2274854,293.3155945,296.2875244,295.9350877,297.4001949,..
Population density (people per sq. km of land area),EN.POP.DNST,Tunisia,TUN,54.32558574,63.67994336,72.73612255,73.56428939,74.39353115,75.21670314,76.0262809,76.80896627,77.55737642,78.28091529,78.93245366,..
